account,symbol,execution price,size,side,time,start position,event,closedPnL,leverage,date
52,BTC,45868.411180208794,0.5999138828306014,sell,2023-01-01 00:00:00,4.109216605669726,trade,-916.2741005637249,5.41917786402019,2023-01-01
93,BTC,47454.3947418433,0.7842591741958862,buy,2023-01-01 01:00:00,-1.4479733259332548,trade,1355.4428011054958,3.886602240804141,2023-01-01
15,BTC,44316.59546229679,0.2665212188512932,sell,2023-01-01 02:00:00,-1.149089703705089,trade,1170.1987091966037,2.7303212662128273,2023-01-01
72,BTC,41275.80302795564,1.8802198637590193,buy,2023-01-01 03:00:00,2.9864464915376328,trade,134.29649724779287,3.785225941797408,2023-01-01
61,BTC,42837.75905798725,1.1522242573535149,buy,2023-01-01 04:00:00,8.725612429378533,trade,79.59786237603639,9.774138455292114,2023-01-01
21,BTC,43630.82296398635,0.6804961902502447,buy,2023-01-01 05:00:00,-8.719873067827582,trade,554.0577711159071,4.7000207529536375,2023-01-01
83,BTC,46459.17241331601,0.8542648824411384,sell,2023-01-01 06:00:00,6.494864746940152,trade,-861.7030702562581,5.002414991725022,2023-01-01
87,BTC,45707.78304668912,0.9496848269591877,buy,2023-01-01 07:00:00,-4.152337791756137,trade,30.03147916408217,6.18890490956026,2023-01-01
75,BTC,43560.96725897846,1.241129233385173,buy,2023-01-01 08:00:00,-1.1216109098724445,trade,-2152.3835446091803,9.85006691572804,2023-01-01
75,BTC,49865.152487929794,1.0797909126233458,sell,2023-01-01 09:00:00,-9.56173342449982,trade,876.4556455029356,3.174411487921867,2023-01-01
88,BTC,46057.74819356887,1.846844749107393,buy,2023-01-01 10:00:00,-3.979078443313739,trade,-1561.4932224418594,7.131538994791905,2023-01-01
100,BTC,42372.267917359946,1.0442306175210774,sell,2023-01-01 11:00:00,0.05262485260260874,trade,1503.419828428999,7.443862241875517,2023-01-01
24,BTC,41017.82472620404,1.985100228164294,sell,2023-01-01 12:00:00,-8.87647845305122,trade,-330.1200939664503,6.465919751137593,2023-01-01
3,BTC,41528.59139184332,1.7177074197156819,buy,2023-01-01 13:00:00,-0.1780854123366975,trade,-211.66698193117688,1.7972050567297968,2023-01-01
22,BTC,42459.57728384508,0.49616997727893797,buy,2023-01-01 14:00:00,8.542212577168545,trade,-627.7339060845056,7.091850482448188,2023-01-01
53,BTC,41606.813732595554,1.868130907823441,sell,2023-01-01 15:00:00,-7.892135637843896,trade,-288.0388739220764,1.5768523993255794,2023-01-01
2,BTC,41865.670240513056,0.3210961559824046,buy,2023-01-01 16:00:00,5.288814561510087,trade,1418.5313451480365,6.365283845949072,2023-01-01
88,BTC,42850.95168693847,1.6531544461332641,sell,2023-01-01 17:00:00,-1.8065789324801464,trade,-2487.8086565350795,7.656230594995684,2023-01-01
30,BTC,41733.73595294755,0.8231842576055021,sell,2023-01-01 18:00:00,3.1034742904867603,trade,1276.9653860881879,2.898729015579554,2023-01-01
38,BTC,48967.654246264254,1.7681512088456321,sell,2023-01-01 19:00:00,-4.795268040295413,trade,338.02348110170817,8.574598067884967,2023-01-01
